% # columns="iteration, evaluation, void, void, void, xmean", seed=336720, Mon May 26 09:51:33 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 160 0 0 0 695109.1849008792 0.5046812104342387 9.129844463348132
2 320 0 0 0 698458.571305569 0.5152462150880177 9.176232363746255
3 480 0 0 0 703407.220087244 0.5268244209192879 9.268802318400073
4 640 0 0 0 702172.4295789239 0.5356943097814119 9.118870639354846
5 800 0 0 0 702527.202935674 0.5488077498534684 9.197538586303542
6 960 0 0 0 702834.0599783913 0.5607312621450277 9.148784141109061
7 1120 0 0 0 702379.3244078726 0.5747090738611615 8.94814654302686
8 1280 0 0 0 702575.6454770508 0.5919793333304366 8.973930997272195
9 1440 0 0 0 702594.6864502076 0.6209817687968057 8.8921754258039
10 1600 0 0 0 702576.2891556984 0.6621115002380771 8.787678286834447
11 1760 0 0 0 702620.3243073225 0.7196464620332874 8.754848782121547
12 1920 0 0 0 702559.2285282598 0.7783368887086559 8.744288202294523
13 2080 0 0 0 702500.2141795114 0.8496709209801805 8.71766085207581
14 2240 0 0 0 702516.0645349966 0.904965456305883 8.570595144980754
15 2400 0 0 0 702467.794744422 0.9514478228462855 8.5231659762775
16 2560 0 0 0 702435.0613385118 0.9494708263893392 8.465129476459822
17 2720 0 0 0 702438.1669154642 0.9505373086350883 8.45879224401738
18 2880 0 0 0 702430.7030485315 0.9483408652671443 8.440084408325443
19 3040 0 0 0 702426.3805282448 0.9491775992787822 8.438197305187598
20 3200 0 0 0 702425.1785504358 0.9500439169582708 8.435532591128148
21 3360 0 0 0 702424.0761757984 0.9497177086644158 8.434110796394663
22 3520 0 0 0 702425.5511488349 0.949978072349159 8.433549928493536
23 3680 0 0 0 702426.1585779146 0.9500529169229885 8.433189381633149
24 3840 0 0 0 702426.3758536114 0.9500168449776165 8.43308994078092
25 4000 0 0 0 702426.1702631498 0.9499950013585019 8.433114975806353
26 4160 0 0 0 702426.2247993504 0.9500391400384366 8.433267922436176
27 4320 0 0 0 702426.2006822748 0.9499917715958512 8.433303781459458
28 4480 0 0 0 702426.2229356256 0.9499958633895078 8.433288366907794
29 4640 0 0 0 702426.2058884085 0.9499969287127337 8.433281831631307
30 4800 0 0 0 702426.2009406849 0.9499983610863829 8.433280936864463
31 4960 0 0 0 702426.1950583339 0.9499984852554151 8.433282955154091
32 5120 0 0 0 702426.1970418664 0.9499991983904801 8.433282015984027
33 5280 0 0 0 702426.1956185752 0.9499997986932674 8.433281842979383
34 5440 0 0 0 702426.1961968804 0.9499999494249417 8.433282397395649
35 5600 0 0 0 702426.200688543 0.9499994587387641 8.433282960743114
36 5760 0 0 0 702426.1978235142 0.9499996822488999 8.433283082419315
